,weight,height,label,predict
0,0.67,0.79,fat,fat
1,0.73,0.815,fat,fat
2,0.44,0.665,normal,normal
3,0.39,0.985,thin,thin
4,0.41,0.7,normal,normal
5,0.74,0.98,normal,normal
6,0.76,0.66,fat,fat
7,0.42,0.805,thin,thin
8,0.46,0.725,normal,normal
9,0.78,0.83,fat,fat
10,0.57,0.91,thin,thin
11,0.77,0.68,fat,fat
12,0.36,0.745,thin,thin
13,0.76,0.65,fat,fat
14,0.64,0.65,fat,fat
15,0.65,0.88,normal,normal
16,0.73,0.865,normal,normal
17,0.6,0.725,fat,fat
18,0.52,0.96,thin,thin
19,0.35,0.65,normal,normal
20,0.57,0.95,thin,thin
21,0.35,0.965,thin,thin
22,0.37,0.735,thin,thin
23,0.74,0.98,normal,normal
24,0.62,0.785,fat,fat
25,0.7,0.905,normal,normal
26,0.68,0.625,fat,fat
27,0.76,0.755,fat,fat
28,0.37,0.975,thin,thin
29,0.63,0.98,thin,thin
30,0.77,0.985,normal,normal
31,0.6,0.825,normal,normal
32,0.53,0.825,normal,normal
33,0.58,1.0,thin,thin
34,0.49,0.985,thin,thin
35,0.53,0.895,thin,thin
36,0.39,0.955,thin,thin
37,0.6,0.655,fat,fat
38,0.43,0.67,normal,normal
39,0.4,0.785,thin,thin
40,0.63,0.725,fat,fat
41,0.56,0.78,normal,normal
42,0.72,0.875,normal,normal
43,0.51,0.67,fat,fat
44,0.41,0.61,fat,fat
45,0.54,0.85,normal,normal
46,0.57,0.97,thin,thin
47,0.43,0.735,normal,normal
48,0.65,0.68,fat,fat
49,0.41,0.735,normal,normal
50,0.65,0.84,normal,normal
51,0.67,0.6,fat,fat
52,0.39,0.805,thin,thin
53,0.48,0.95,thin,thin
54,0.42,0.69,normal,normal
55,0.35,0.95,thin,thin
56,0.61,0.695,fat,fat
57,0.71,0.885,normal,normal
58,0.57,0.76,normal,normal
59,0.59,0.92,thin,thin
60,0.66,0.865,normal,normal
61,0.57,0.785,normal,normal
62,0.8,0.93,normal,normal
63,0.68,0.89,normal,normal
64,0.44,0.765,normal,normal
65,0.47,0.705,normal,normal
66,0.74,0.615,fat,fat
67,0.43,0.61,fat,fat
68,0.36,0.8,thin,thin
69,0.53,0.94,thin,thin
70,0.77,0.935,normal,normal
71,0.41,0.995,thin,thin
72,0.45,0.795,thin,thin
73,0.66,0.9,normal,normal
74,0.48,0.845,thin,thin
75,0.64,0.955,thin,thin
76,0.56,0.63,fat,fat
77,0.37,0.845,thin,thin
78,0.7,0.765,fat,fat
79,0.68,0.925,normal,normal
80,0.51,0.805,normal,normal
81,0.4,0.835,thin,thin
82,0.64,0.73,fat,fat
83,0.53,0.905,thin,thin
84,0.36,0.675,normal,normal
85,0.58,0.785,normal,normal
86,0.72,0.975,normal,normal
87,0.53,0.735,normal,normal
88,0.67,0.865,normal,normal
89,0.59,0.64,fat,fat
90,0.62,0.61,fat,fat
91,0.7,0.785,fat,fat
92,0.78,0.75,fat,fat
93,0.57,1.0,thin,thin
94,0.55,0.845,normal,normal
95,0.36,0.985,thin,thin
96,0.41,0.67,normal,normal
97,0.61,0.71,fat,fat
98,0.77,0.7,fat,fat
99,0.65,0.675,fat,fat
100,0.5,0.865,thin,thin
101,0.69,0.775,fat,fat
102,0.75,0.93,normal,normal
103,0.53,0.635,fat,fat
104,0.59,0.86,normal,normal
105,0.71,0.98,thin,normal
106,0.71,0.66,fat,fat
107,0.66,0.69,fat,fat
108,0.67,0.85,normal,normal
109,0.71,0.86,normal,normal
110,0.5,0.995,thin,thin
111,0.56,0.885,thin,thin
112,0.52,0.89,thin,thin
113,0.77,0.935,normal,normal
114,0.43,0.97,thin,thin
115,0.46,0.775,normal,normal
116,0.77,0.605,fat,fat
117,0.48,0.78,normal,normal
118,0.75,0.77,fat,fat
119,0.68,0.815,fat,fat
120,0.72,0.995,thin,normal
121,0.66,0.635,fat,fat
122,0.51,0.875,thin,thin
123,0.57,0.965,thin,thin
124,0.53,0.615,fat,fat
125,0.41,0.96,thin,thin
126,0.72,0.91,normal,normal
127,0.74,0.885,normal,normal
128,0.42,0.705,normal,normal
129,0.62,0.645,fat,fat
130,0.77,0.905,normal,normal
131,0.62,0.845,normal,normal
132,0.38,0.92,thin,thin
133,0.45,0.625,fat,fat
134,0.42,0.97,thin,thin
135,0.79,0.695,fat,fat
136,0.46,0.795,thin,thin
137,0.51,0.8,normal,normal
138,0.35,0.81,thin,thin
139,0.43,0.66,normal,normal
140,0.68,0.72,fat,fat
141,0.53,0.725,fat,fat
142,0.54,0.655,fat,fat
143,0.58,0.695,fat,fat
144,0.72,0.875,normal,normal
145,0.36,0.645,normal,normal
146,0.66,0.97,thin,thin
147,0.38,0.92,thin,thin
148,0.51,0.815,normal,normal
149,0.47,0.925,thin,thin
150,0.42,0.65,normal,normal
151,0.66,0.81,fat,fat
152,0.41,0.76,thin,thin
153,0.52,0.955,thin,thin
154,0.77,0.96,normal,normal
155,0.77,0.645,fat,fat
156,0.51,0.61,fat,fat
157,0.65,0.855,normal,normal
158,0.79,0.815,fat,fat
159,0.36,0.715,thin,thin
160,0.43,0.675,normal,normal
161,0.58,0.64,fat,fat
162,0.61,0.94,thin,thin
163,0.72,0.725,fat,fat
164,0.6,0.715,fat,fat
165,0.5,0.88,thin,thin
166,0.7,0.94,normal,normal
167,0.53,0.71,fat,fat
168,0.43,0.82,thin,thin
169,0.71,0.63,fat,fat
170,0.64,0.74,fat,fat
171,0.7,0.985,thin,thin
172,0.78,0.835,fat,fat
173,0.45,0.835,thin,thin
174,0.59,0.885,normal,normal
175,0.65,0.645,fat,fat
176,0.37,0.71,thin,normal
177,0.79,0.82,fat,fat
178,0.74,0.6,fat,fat
179,0.67,0.63,fat,fat
180,0.46,0.995,thin,thin
181,0.48,0.79,normal,normal
182,0.35,0.775,thin,thin
183,0.48,0.795,normal,normal
184,0.45,0.99,thin,thin
185,0.51,0.985,thin,thin
186,0.71,0.605,fat,fat
187,0.71,0.605,fat,fat
188,0.71,0.925,normal,normal
189,0.77,0.97,normal,normal
190,0.35,0.99,thin,thin
191,0.54,0.7,fat,fat
192,0.41,0.73,normal,normal
193,0.72,0.69,fat,fat
194,0.7,0.68,fat,fat
195,0.36,0.84,thin,thin
196,0.42,0.69,normal,normal
